Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
34.0,1,9.0,2,4.0,3.0,4.0,0,1,0,0.0,17979.0,Company Invited,Salaried,Male,Basic,Married,Executive
32.0,1,6.0,3,3.0,4.0,2.0,0,3,0,0.0,21220.0,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
30.0,3,11.0,2,3.0,3.0,3.0,0,4,1,1.0,24419.0,Self Enquiry,Salaried,Female,Standard,Divorced,Senior Manager
39.0,3,9.0,3,4.0,4.0,2.0,0,4,1,2.0,26029.0,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
37.0,1,31.0,3,4.0,4.0,2.0,0,3,1,2.0,24352.0,Company Invited,Salaried,Female,Deluxe,Married,Manager
34.0,1,9.0,3,4.0,3.0,2.0,0,3,0,2.0,21178.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
27.0,1,7.0,4,6.0,3.0,5.0,0,4,1,3.0,23042.0,Company Invited,Salaried,Female,Basic,Married,Executive
30.0,3,6.0,3,4.0,5.0,2.0,0,4,1,1.0,24714.0,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
53.0,1,32.0,3,5.0,3.0,5.0,0,5,0,2.0,32504.0,Company Invited,Small Business,Female,Super Deluxe,Married,AVP
55.0,1,7.0,3,4.0,3.0,2.0,0,5,1,2.0,29180.0,Company Invited,Salaried,Female,Standard,Married,Senior Manager
46.0,1,6.0,2,4.0,5.0,3.0,1,2,1,1.0,25673.0,Company Invited,Small Business,Male,Standard,Divorced,Senior Manager
39.0,1,19.0,2,5.0,5.0,4.0,0,5,1,1.0,24966.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
54.0,2,32.0,1,2.0,3.0,3.0,1,3,1,0.0,32328.0,Company Invited,Salaried,Female,Super Deluxe,Single,AVP
42.0,1,19.0,3,1.0,5.0,6.0,0,4,1,0.0,20538.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
33.0,1,12.0,3,2.0,3.0,5.0,0,5,1,2.0,21990.0,Self Enquiry,Salaried,Female,Basic,Married,Executive
35.0,1,6.0,1,4.0,3.0,2.0,0,4,1,0.0,17859.0,Self Enquiry,Small Business,Male,Basic,Single,Executive
39.0,1,16.0,3,3.0,3.0,1.0,0,3,1,0.0,28464.0,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
29.0,1,17.0,3,4.0,3.0,5.0,0,4,1,2.0,22338.0,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
23.0,1,11.0,3,5.0,3.0,7.0,0,5,1,1.0,22572.0,Company Invited,Large Business,Male,Basic,Unmarried,Executive
37.0,1,15.0,2,3.0,3.0,2.0,1,2,0,0.0,17326.0,Company Invited,Small Business,Male,Basic,Divorced,Executive
33.0,1,10.0,4,4.0,5.0,3.0,0,1,1,1.0,25403.0,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
33.0,1,7.0,4,4.0,5.0,3.0,0,1,0,2.0,21634.0,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
50.0,1,25.0,4,4.0,3.0,3.0,1,1,0,1.0,25482.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
42.0,1,6.0,2,4.0,3.0,1.0,1,3,0,0.0,21062.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
43.0,1,33.0,3,4.0,5.0,5.0,1,3,0,1.0,31869.0,Company Invited,Small Business,Female,Standard,Married,Senior Manager
36.0,1,15.0,3,1.0,4.0,2.0,0,5,1,0.0,17810.0,Company Invited,Salaried,Male,Basic,Married,Executive
27.0,3,8.0,2,1.0,3.0,1.0,0,1,0,1.0,21500.0,Self Enquiry,Small Business,Female,Deluxe,Unmarried,Manager
29.0,3,16.0,4,4.0,3.0,3.0,0,3,1,2.0,23931.0,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
34.0,1,12.0,4,5.0,3.0,3.0,0,2,0,3.0,21589.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
41.0,3,21.0,3,4.0,5.0,3.0,0,3,0,2.0,23317.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
32.0,3,20.0,4,5.0,5.0,7.0,1,1,1,1.0,20980.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
50.0,2,9.0,3,3.0,4.0,2.0,0,1,1,2.0,33200.0,Company Invited,Small Business,Male,King,Married,VP
24.0,3,30.0,2,3.0,3.0,1.0,0,4,1,1.0,17400.0,Company Invited,Small Business,Male,Basic,Married,Executive
43.0,1,7.0,3,5.0,3.0,2.0,1,3,0,1.0,24740.0,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
39.0,1,16.0,3,3.0,5.0,3.0,0,5,1,2.0,20377.0,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
55.0,1,6.0,2,3.0,5.0,1.0,1,1,1,1.0,34045.0,Self Enquiry,Small Business,Male,King,Single,VP
33.0,1,10.0,3,4.0,3.0,3.0,0,4,1,1.0,24887.0,Company Invited,Salaried,Female,Basic,Unmarried,Executive
34.0,3,23.0,4,4.0,5.0,4.0,1,5,0,1.0,27242.0,Self Enquiry,Salaried,Female,Standard,Unmarried,Senior Manager
25.0,1,25.0,3,4.0,3.0,2.0,0,4,0,1.0,21452.0,Self Enquiry,Salaried,Male,Basic,Married,Executive
30.0,1,24.0,3,3.0,3.0,2.0,0,1,1,2.0,17632.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
32.0,3,12.0,3,4.0,4.0,3.0,0,3,0,1.0,21467.0,Company Invited,Small Business,Female,Basic,Married,Executive
34.0,1,12.0,4,4.0,4.0,8.0,0,3,1,3.0,30556.0,Company Invited,Salaried,Female,Standard,Divorced,Senior Manager
50.0,1,30.0,3,3.0,3.0,4.0,1,4,1,2.0,28973.0,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
33.0,1,6.0,3,4.0,5.0,4.0,1,4,0,0.0,17799.0,Self Enquiry,Salaried,Male,Basic,Single,Executive
36.0,3,18.0,3,4.0,3.0,3.0,0,5,0,1.0,23646.0,Company Invited,Small Business,Male,Deluxe,Married,Manager
50.0,1,25.0,4,4.0,3.0,3.0,1,2,0,2.0,25482.0,Company Invited,Salaried,Male,Deluxe,Married,Manager
49.0,3,14.0,4,4.0,3.0,4.0,1,4,1,2.0,21333.0,Company Invited,Small Business,Female,Basic,Married,Executive
37.0,3,14.0,3,2.0,5.0,4.0,0,1,1,1.0,23317.0,Company Invited,Small Business,Female,Deluxe,Divorced,Manager
30.0,1,24.0,3,3.0,3.0,2.0,0,2,1,0.0,17632.0,Self Enquiry,Salaried,Female,Basic,Single,Executive
23.0,1,7.0,4,4.0,3.0,2.0,0,3,0,3.0,22053.0,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
34.0,1,33.0,3,3.0,4.0,3.0,0,3,0,0.0,17311.0,Self Enquiry,Small Business,Female,Basic,Single,Executive
52.0,3,28.0,4,4.0,3.0,2.0,1,5,0,3.0,24119.0,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
27.0,3,36.0,4,6.0,5.0,2.0,0,3,0,1.0,23647.0,Company Invited,Small Business,Male,Deluxe,Unmarried,Manager
40.0,3,30.0,3,1.0,4.0,5.0,1,3,1,2.0,28194.0,Company Invited,Salaried,Female,Super Deluxe,Unmarried,AVP
44.0,1,8.0,3,1.0,3.0,2.0,0,4,1,0.0,17011.0,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
27.0,1,9.0,3,4.0,5.0,8.0,1,5,0,1.0,20720.0,Company Invited,Salaried,Male,Basic,Married,Executive
42.0,1,12.0,4,5.0,5.0,8.0,0,3,1,1.0,20785.0,Company Invited,Salaried,Male,Basic,Married,Executive
28.0,3,9.0,3,4.0,5.0,2.0,0,5,0,2.0,21719.0,Self Enquiry,Small Business,Male,Basic,Married,Executive
